message_id,text,message_type,platform,job_type,contains_link,contains_email,has_payment_request,asks_personal_info,scam_type,label
39087,Please log in to our official portal to track your application.,Email,Gmail,Full-time,0,0,0,0,Legitimate,0
30893,"Quick job offer, pay small fee and start earning immediately.",Email,LinkedIn,Part-time,0,0,1,0,Task-Based Scam,1
45278,No fees are required at any stage of recruitment.,SMS,WhatsApp,Remote,0,0,0,0,Legitimate,0
16398,Please submit your portfolio via our official company website.,SMS,LinkedIn,Remote,0,0,0,0,Legitimate,0
13653,Thank you for applying. We will review your application and contact you.,Email,SMS,Casual,0,0,0,0,Legitimate,0
13748,Your application is under review.,Email,Telegram,Part-time,0,0,0,0,Legitimate,0
23965,We will inform you about next steps soon.,SMS,WhatsApp,Full-time,0,0,0,0,Legitimate,0
45552,We would like to invite you for a formal interview.,SMS,SMS,Part-time,0,0,0,0,Legitimate,0
30219,Join now and start earning immediately.,SMS,SMS,Full-time,0,0,0,0,Phishing,1
24079,Work from home and earn $1486/week. No experience required.,SMS,WhatsApp,Part-time,0,0,0,0,Advance Fee,1
12181,"Quick job offer, pay small fee and start earning immediately.",SMS,WhatsApp,Remote,0,0,1,0,Advance Fee,1
21848,We would like to invite you for a formal interview.,Email,Gmail,Part-time,0,0,0,0,Legitimate,0
14290,Pay onboarding fee and get instant access to job dashboard.,Email,SMS,Part-time,0,0,1,0,Task-Based Scam,1
24755,Interview will be conducted via official company email.,SMS,SMS,Remote,0,0,0,0,Legitimate,0
35013,"Urgent hiring, no interview required, click link to begin.",SMS,SMS,Remote,0,0,0,0,Fake Job,1
15361,Interview will be conducted via official company email.,Email,Telegram,Full-time,0,0,0,0,Legitimate,0
48038,We are pleased to invite you for a formal interview process.,SMS,Gmail,Remote,0,0,0,0,Legitimate,0
36311,Interview scheduled for next week. No payment required.,Email,LinkedIn,Remote,0,0,0,0,Legitimate,0
30239,Limited slots available! Register now and earn up to $1000 weekly.,Email,SMS,Casual,0,0,0,0,Task-Based Scam,1
7195,Interview scheduled for next week. No payment required.,SMS,LinkedIn,Part-time,0,0,0,0,Legitimate,0
3579,We only hire through official recruitment channels.,Email,WhatsApp,Part-time,0,0,0,0,Legitimate,0
